City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Dakar,SN,14.6937,-17.4441,79.68,36,100,6.91,overcast clouds
271,Puerto Escondido,MX,15.85,-97.0667,79.63,69,40,0.0,scattered clouds
272,Cherskiy,RU,68.75,161.3,-12.05,96,100,2.01,overcast clouds
273,Itarema,BR,-2.9248,-39.9167,77.83,81,100,8.81,overcast clouds
274,Kodiak,US,57.79,-152.4072,27.91,64,75,21.85,broken clouds
275,Seka,TH,17.9285,103.9552,86.22,52,24,0.69,few clouds
276,Nisia Floresta,BR,-6.0911,-35.2086,79.18,86,6,4.85,clear sky
277,Belmonte,BR,-15.8631,-38.8828,75.7,87,100,9.15,overcast clouds
278,Nsanje,MW,-16.92,35.262,72.93,95,100,0.69,overcast clouds
279,Tangwani,PK,28.2787,68.9972,40.93,53,0,2.21,clear sky
280,Mafinga,TZ,-7.25,35.0667,66.38,82,100,2.19,overcast clouds
281,Bayir,TR,37.2687,28.2167,46.92,96,100,5.7,moderate rain
282,Panzhihua,CN,26.5851,101.7128,62.19,45,0,0.98,clear sky
283,Victoria,HK,22.2855,114.1577,69.96,76,98,3.0,overcast clouds
284,Portales,US,34.1862,-103.3344,33.94,49,33,6.08,scattered clouds
285,Port Lincoln,AU,-34.7333,135.8667,83.86,40,100,7.96,light rain
286,Jumla,NP,29.2747,82.1838,43.18,63,34,3.49,scattered clouds
287,Lucapa,AO,-8.4192,20.7447,64.54,97,100,2.1,overcast clouds
288,Mopipi,BW,-21.1833,24.8833,72.27,74,99,11.16,light rain
289,Ahipara,NZ,-35.1667,173.1667,72.09,65,97,4.99,overcast clouds
290,Santomera,ES,38.0615,-1.0488,64.72,52,32,7.0,scattered clouds
291,Aswan,EG,24.0934,32.907,58.3,41,0,11.5,clear sky
292,Tazovskiy,RU,67.4667,78.7,-4.52,96,100,11.79,overcast clouds
293,Staryy Nadym,RU,65.6118,72.6842,-9.17,95,17,10.45,few clouds
294,Plettenberg Bay,ZA,-34.0527,23.3716,72.03,69,100,4.25,overcast clouds
295,Gemona,IT,46.2794,13.1431,36.3,71,100,7.38,overcast clouds
296,Batticaloa,LK,7.7102,81.6924,77.25,84,100,4.52,overcast clouds
297,Grootfontein,NA,-19.5667,18.1167,65.77,94,100,0.0,overcast clouds
298,Paragominas,BR,-2.9667,-47.4833,70.36,99,100,2.62,overcast clouds
299,Berea,US,41.3662,-81.8543,25.07,62,40,5.01,scattered clouds
300,Limbazi,LV,57.5129,24.7194,27.03,98,100,2.13,light snow
301,Auki,SB,-8.7676,160.7034,83.43,79,100,9.42,overcast clouds
302,Cidreira,BR,-30.1811,-50.2056,71.64,76,28,14.79,scattered clouds
303,Kidal,ML,18.4411,1.4078,56.75,18,95,13.22,overcast clouds
304,Starogard Gdanski,PL,53.964,18.5264,29.97,92,97,4.99,overcast clouds
305,Cam Ranh,VN,11.9214,109.1591,82.36,61,40,11.5,scattered clouds
306,Boende,CD,-0.2167,20.8667,73.87,77,98,1.5,overcast clouds
307,Coxim,BR,-18.5067,-54.76,75.67,77,76,4.56,broken clouds
308,Tarakan,ID,3.3,117.6333,85.5,70,40,5.75,scattered clouds
309,Yar-Sale,RU,66.8333,70.8333,-10.73,95,39,8.55,scattered clouds
310,Pindiga,NG,9.9833,10.9333,65.61,22,64,11.52,broken clouds
311,Dilla,ET,6.41,38.31,61.59,75,30,3.4,scattered clouds
312,Marapanim,BR,-0.7175,-47.6997,72.95,97,100,3.2,overcast clouds
313,Vila Velha,BR,-20.3297,-40.2925,73.94,97,100,1.14,overcast clouds
314,Vardo,NO,70.3705,31.1107,25.0,73,96,29.59,overcast clouds
315,Bambous Virieux,MU,-20.3428,57.7575,75.45,100,75,3.44,broken clouds
316,Marsabit,KE,2.3284,37.9899,65.05,71,5,12.71,clear sky
317,Karlshamn,SE,56.1706,14.8619,35.71,89,97,13.24,overcast clouds
318,Bowen,AU,-20.0167,148.2333,88.02,66,35,18.07,scattered clouds
319,Lagoa,PT,39.05,-27.9833,60.46,76,100,19.08,overcast clouds
320,Roanoke Rapids,US,36.4615,-77.6542,55.09,100,100,3.44,overcast clouds
321,Dingle,PH,10.9995,122.6711,83.68,72,81,8.19,broken clouds
322,Metro,ID,-5.1131,105.3067,85.82,66,82,6.93,broken clouds
323,Paamiut,GL,61.994,-49.6678,11.26,84,100,15.48,overcast clouds
324,San Jeronimo,PE,-11.9472,-75.2829,50.32,88,100,4.97,overcast clouds
325,Alofi,NU,-19.0595,-169.9187,80.49,94,100,10.36,overcast clouds
326,Shiyan,CN,32.6475,110.7781,52.79,44,37,11.5,scattered clouds
327,Hirara,JP,24.8,125.2833,70.07,64,75,16.11,broken clouds
328,Baicheng,CN,45.6167,122.8167,6.51,77,94,13.06,overcast clouds
329,Santa Maria,BR,-29.6842,-53.8069,69.1,78,0,9.22,clear sky
330,Ucluelet,CA,48.9329,-125.5528,33.96,82,100,13.15,overcast clouds
331,Isangel,VU,-19.55,169.2667,86.11,79,75,16.11,broken clouds
332,Kayes,ML,14.0,-11.0,70.56,12,82,7.47,broken clouds
333,Pijijiapan,MX,15.7011,-93.23,74.75,78,1,3.15,clear sky
334,Kloulklubed,PW,7.0419,134.2556,84.7,75,91,11.63,overcast clouds
335,Banyo,CM,6.75,11.8167,64.63,33,63,2.95,broken clouds
336,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,79.9,58,18,2.48,few clouds
337,Camacha,PT,33.0833,-16.3333,60.22,82,40,9.22,scattered clouds
338,Catamarca,AR,-28.4696,-65.7852,78.04,38,9,8.12,clear sky
339,Richards Bay,ZA,-28.783,32.0377,69.75,84,5,7.9,clear sky
340,Fortuna,US,40.5982,-124.1573,47.32,87,0,0.0,clear sky
